"ccg","Period.Type","access_2021","access_2122","access_2021_1c","access_2122_1c","mhspend_perc_allocation_1718","mhspend_perc_allocation_1819","mhspend_perc_allocation_1920","mhspend_perc_allocation_2021","mhspend_perc_allocation_2122","mhspend_allages_1718","mhspend_allages_1819","mhspend_allages_1920","mhspend_allages_2021","mhspend_allages_2122","mhspend_cyp_1718","mhspend_cyp_1819","mhspend_cyp_1920","mhspend_cyp_2021","mhspend_cyp_2122","EDspend_1718","EDspend_1819","EDspend_1920","EDspend_2021","EDspend_2122","t4beddays_Q1_201718","t4beddays_Q2_201718","t4beddays_Q3_201718","t4beddays_Q4_201718","t4beddays_Q1_201819","t4beddays_Q2_201819","t4beddays_Q3_201819","t4beddays_Q4_201819","t4beddays_Q1_201920","t4beddays_Q2_201920","t4beddays_Q3_201920","t4beddays_Q4_201920","t4beddays_Q1_202021","t4beddays_Q2_202021","t4beddays_Q3_202021","t4beddays_Q4_202021","t4beddays_Q1_202122","t4beddays_Q2_202122","t4beddays_Q3_202122","t4beddays_Q4_202122","t4admissions_Q1_201718","t4admissions_Q2_201718","t4admissions_Q3_201718","t4admissions_Q4_201718","t4admissions_Q1_201819","t4admissions_Q2_201819","t4admissions_Q3_201819","t4admissions_Q4_201819","t4admissions_Q1_201920","t4admissions_Q2_201920","t4admissions_Q3_201920","t4admissions_Q4_201920","t4admissions_Q1_202021","t4admissions_Q2_202021","t4admissions_Q3_202021","t4admissions_Q4_202021","t4admissions_Q1_202122","t4admissions_Q2_202122","t4admissions_Q3_202122","t4admissions_Q4_202122","adultward_Q1_202021","adultward_Q2_202021","adultward_Q3_202021","adultward_Q4_202021","adultward_Q1_202122","adultward_Q2_202122","adultward_Q3_202122","adultward_Q4_202122","org_cd","no_referred_2122","avg_wait_days_2122","wait_0to4_weeks_2122","wait_0to4_weeks_perc_2122","wait_4to6_weeks_2122","wait_4to6_weeks_perc_2122","wait_6to8_weeks_2122","wait_6to8_weeks_perc_2122","wait_8to10_weeks_2122","wait_8to10_weeks_perc_2122","wait_10to12_weeks_2122","wait_10to12_weeks_perc_2122","wait_over12_weeks_2122","wait_over12_weeks_perc_2122","referrals_closed_number_2122","referrals_closed_2122","stillwaiting_nocontact_2122","stillwaiting_nocontact_perc_2122","stillwaiting_onecontact_2122","stillwaiting_onecontact_perc_2122","contacts_before_referral_2122","overall_score_2021","no_referred_2021","wait_0to4_weeks_2021","wait_4to6_weeks_2021","wait_6to8_weeks_2021","wait_8to10_weeks_2021","wait_10to12_weeks_2021","wait_over12_weeks_2021","referrals_closed_number_2021","stillwaiting_nocontact_2021","stillwaiting_onecontact_2021","contacts_before_referral_2021","wait_days_2021","avg_wait_days_2021","referrals_closed_2021","overall_score_1920","no_referred_1920","wait_0to4_weeks_1920","wait_4to6_weeks_1920","wait_6to8_weeks_1920","wait_8to10_weeks_1920","wait_10to12_weeks_1920","wait_over12_weeks_1920","referrals_closed_number_1920","stillwaiting_nocontact_1920","stillwaiting_onecontact_1920","contacts_before_referral_1920","wait_days_1920","avg_wait_days_1920","referrals_closed_1920","pop_2018","pop_2019","pop_2020","spc_202122","spc_202021","spc_201920","percreferred_202122","percreferred_202021","percreferred_201920","total_budget_202122","total_budget_202021","total_budget_201920","total_budget_201819","total_budget_201718","pbudget_camhs_2122","pbudget_camhs_2021","pbudget_camhs_1920","pbudget_camhs_1819","pbudget_camhs_1718","spc_2122_quintile","pbudget_2122_quintile","avgwait_2122_quintile","percreferred_2122_quintile","referralsclosed_2122_quintile","overall_score_2122"
"NHS Warrington CCG","Rolling 12 month",1575,1695,2565,2830,0.11957475666188,0.125846054306322,0.125885356693745,0.134407675376303,0.159640410340232,33572000,35594298,37563938.6667,44558000,52923000,2165000,2240000,2534000,3584000,3874000,170000,238000,268000,284000,289000,538,403,565,468,517,425,366,256,223,123,50,100,120,245,278,422,515,355,191,220,NA,5,6,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,90,30,NA,NA,35,NA,NA,"02E",3205,22,860,26,105,3,60,1,45,1,20,0,80,2,1495,46,120,3,420,13,NA,16,2515,645,100,65,60,45,140,660,300,500,0,82995,33,26,17,2590,550,90,120,70,60,105,540,605,440,0,82880,32,21,44484,44391,44177,87.6926907666885,81.1281888765647,57.0836430808047,0.0725490639925753,0.0569300767367635,0.0583451600549661,331513805.854097,331513805.854095,298397999.999999,282839999.999999,280761599.999999,0.0116857878362538,0.0108110128046292,0.00849201402154173,0.00791967189930706,0.00771116847888032,4,4,5,4,1,18
"NHS Wirral CCG","Rolling 12 month",3910,2560,5260,3860,0.133691556960654,0.135826075069086,0.142169496516256,0.135148288662447,0.143104142850069,67417000,69991176.4831,77003264.3981,79510187.18005,84190760.363,4472000,5641790,5701454.3981,6328951.6601,6460565.0955,479000,224450,226530,242406.90395,245415.0049,833,676,1328,1199,638,733,833,856,1000,644,736,786,605,739,640,1053,822,707,864,699,9,12,12,7,7,NA,6,12,15,7,8,9,8,7,13,8,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12F",5020,30,620,12,190,3,100,1,35,0,35,0,70,1,1825,36,1880,37,265,5,NA,20,4165,1730,185,80,35,30,135,465,1010,490,5,99960,24,11,18,3420,655,75,75,65,45,270,535,920,780,0,157320,46,16,67576,67508,67431,95.8100146149397,93.858190744613,84.4559814851573,0.0744464712076048,0.0617668431433614,0.0506606624400071,588318120.539719,588318120.539717,541630000.000002,515300000,504272682.079999,0.0109814144251976,0.0107577030846745,0.0105264745270756,0.0109485542402484,0.00886821784902984,5,4,4,5,3,21
"NHS Tees Valley CCG","Rolling 12 month",10175,10905,13095,14805,0.179320548566561,0.19237046893864,0.191111723131205,0.183144420437872,0.193763431303816,178839000,190924035.38269,199465216.54927,215655177.46441,228159214.81,12888000,13978831.2382,14772420.37,16772152.3107,16644477.036,794000,810267.7512,931338.90245,993068.61853,1163171.3777,1550,1787,1298,1151,822,771,987,881,953,1005,1114,1028,1090,1078,924,645,80,7,88,NA,14,9,7,7,10,9,9,12,6,15,7,11,9,8,5,9,NA,NA,NA,NA,20,5,NA,NA,NA,NA,NA,NA,"16C",12275,30,3630,29,580,4,360,2,255,2,180,1,600,4,4435,36,1280,10,955,7,NA,24,9075,4110,350,255,130,80,205,1945,1015,980,0,154275,17,21,23.6666666666667,10315,3960,490,445,400,245,765,2065,505,1435,0,338885,33,20,146120,146833,147498,112.845442216166,113.711049035919,100.606950549263,0.0832214674097276,0.0615262579831591,0.070249875709139,1177514318.74806,1177514318.74806,1043710000,992480999.999998,997314593.500799,0.0141352650842467,0.0142436928737582,0.0141537595404854,0.0140847343558214,0.0129227027098443,5,5,4,5,3,22
"NHS Herefordshire and Worcestershire CCG","Rolling 12 month",4770,4995,7490,7775,0.12848774954146,0.129572139716704,0.129832375911116,0.109701319225566,0.115579741783926,119276000,122243280.350048,130974381.48963,135348921.609726,142601689.03,7969000,8379191.37804198,9071095.9305,9657054.96437931,10259538.813,419000,404074.214341366,491858.483554569,581758.11736,841540.26917,1322,1030,1375,1406,2035,1424,1317,1728,1427,1539,1796,1654,1498,1726,1905,2220,2087,1331,1587,1379,12,11,10,11,12,NA,8,13,7,10,14,13,12,15,12,8,12,9,11,8,20,70,15,50,NA,35,5,NA,"18C",7595,66,1045,13,245,3,185,2,140,1,120,1,880,11,2585,34,1380,18,1005,13,10,14,5430,995,225,140,140,120,405,1085,935,1385,5,249780,46,20,11.75,5525,730,180,145,120,110,600,1635,835,1165,0,350355,63,30,153886,154908,155382,66.0278462949376,62.1504097281494,58.5579565322643,0.0488795355961437,0.03494613275669,0.0356663309835515,1233794840.07319,1233794840.0732,1008796000,943438000.000002,928306398.280502,0.00831543339279273,0.00782711570086189,0.00899200227845869,0.00888154958570883,0.00858445015003768,2,2,1,2,3,10
"NHS Norfolk and Waveney CCG","Rolling 12 month",6135,7690,10345,11025,0.157466221948544,0.14275398244838,0.123157005812373,0.113881401805672,0.122586681113735,206205158.176,190799976.551119,173954467.58675,192888165.398532,207632850.03,8297888.5,22929566.958,24164477.253,25800095.3970635,27489933.117,1669190.66599,915000,1968686,2178186.36,2656418.5786,1968,1994,2468,2571,2289,2021,2313,2601,2465,2593,2666,1595,1211,1828,2032,1617,1737,1716,1614,1793,22,22,26,23,14,24,16,21,24,22,21,12,12,20,13,22,11,8,9,16,NA,NA,NA,NA,NA,NA,NA,45,"26A",14985,50,1585,10,245,1,195,1,135,0,115,0,605,4,5435,36,5065,33,1610,10,NA,18,9495,1440,180,165,120,80,425,2855,2725,1505,0,370305,39,30,18,11250,1090,195,175,125,105,500,4110,4105,855,0,611890,54,37,193566,194272,194694,141.195584440198,132.51612991188,124.384765962156,0.0769669327251995,0.0487688372523036,0.0579084994234887,1693763532.41312,1693763532.41311,1412461000,1336565000,1309519944.17814,0.0162300891422753,0.0152324069466214,0.0171080668797227,0.0171555943467022,0.0063365881038244,5,5,2,5,3,20
"NHS Cheshire CCG","Rolling 12 month",3985,2980,6255,5270,0.118520754938427,0.112987142144945,0.11283293249912,0.110817959531048,0.118840406559007,110340879.46,109366469.17491,115020988.726143,124824926.3679,133861380.06,6523480.1696,8428364.2325,9174864.0124,10672730.23,11926994.22,552045.06,518111.9915,773460.48028,524349.469,519988.62934,1654,1155,1265,921,694,586,840,695,635,429,524,927,624,666,979,1271,1297,1253,1518,1054,15,11,19,14,8,NA,10,7,6,5,10,10,NA,6,14,14,11,9,NA,NA,NA,NA,NA,50,10,NA,NA,NA,"27D",8090,53,500,6,105,1,105,1,70,0,70,0,265,3,3145,38,3095,38,740,9,NA,14,5390,825,190,145,115,80,225,1150,1925,735,0,210210,39,21,16,6790,830,195,180,120,100,435,995,3020,905,0,366105,54,15,144577,145946,147246,81.0004633063037,72.4823100797305,62.8647856905979,0.054942069733643,0.0366054086358882,0.0465240568429419,1126396180.69242,1126396180.69242,1019392000,967954999.999998,930983602.975896,0.0105886316239711,0.00947511223221585,0.00900032962040117,0.00870739262930613,0.00700708385061525,4,4,2,2,2,14
"NHS Bradford District and Craven CCG","Rolling 12 month",5660,7155,7325,9240,0.128131524173097,0.135203876871212,0.141252023316086,0.142169264484419,0.149804965205517,101481000,107804000,120775000,128434000,135332000,6866000,7353000,8828000,9046000,10639000,305000,311000,324000,335000,343000,735,774,396,441,754,608,512,399,504,678,518,770,687,827,522,277,316,599,739,714,13,6,NA,8,6,NA,NA,5,8,NA,7,NA,NA,6,5,NA,NA,8,NA,6,NA,20,NA,20,55,90,45,10,"36J",8810,36,2290,25,460,5,305,3,180,2,135,1,455,5,2120,24,1700,19,1140,12,25,16,5275,2185,325,215,140,65,170,745,545,845,40,131875,25,14,12.6666666666667,6710,1125,210,175,125,100,580,2300,980,1095,20,372710,56,34,151260,151731,151758,70.105035648862,59.6080602011097,58.1819140452511,0.0580529527273686,0.0347592878134925,0.0442229999143221,903387947.217493,903387947.217492,855032000.000003,797344000.000003,792006500,0.0117767787723635,0.0100134167473259,0.0103247597750727,0.00922186659710235,0.00866912077110478,3,4,3,3,5,18
"NHS South West London CCG","Rolling 12 month",9955,11230,14585,16660,0.130268513353362,0.133765738373073,0.136873380836718,0.120575212992282,0.127896553115614,238373376.174,255990971.433748,276811082.923608,286506973.058132,303903707.804925,15473403.1083,17549211.1243428,20409931.7988538,19598962.726824,21354369.8138335,1615062.91416,1801234.53563162,1912687.81075969,1434410.11848899,1651354.2550997,3386,3594,3516,2720,2705,2284,1877,1939,2471,1905,1683,1726,951,1249,1402,1616,2469,2003,2144,1763,29,31,27,24,31,29,25,28,23,19,23,26,13,22,21,17,29,29,36,45,45,NA,NA,NA,NA,NA,NA,NA,"36L",17100,40,3435,20,775,4,500,2,290,1,185,1,900,5,5525,32,3215,18,2265,13,10,14,12365,3615,500,280,180,140,480,3420,1735,2005,10,346220,28,28,12.5,12960,2455,495,340,215,145,790,4175,2670,1640,30,610640,47,32,338251,340658,343221,62.2175502484798,57.1030406846434,59.9132613907608,0.0498221262684976,0.0360263503690042,0.0380440206893717,2376168085.86082,2376168085.86083,2022388000,1913726000,1829861798.817,0.00898689362124709,0.00824813818662319,0.0100919960951379,0.00917017959955749,0.00845605013356936,2,3,3,2,3,13
"NHS North Yorkshire CCG","Rolling 12 month",3015,3055,4380,4600,0.152771730180068,0.161027135855049,0.14897834880995,0.132988188797689,0.140704114398548,81371264.961,88516938.633792,86020992.472958,93149992.9772065,98554521.169,4724207.2749,4837084.7215,3836241.47590292,4293769.64342781,4515463.0269,224337.717697,225902.701972,212534.153789636,332905.145208109,337221.82407,789,858,1066,1201,1070,911,699,513,638,450,403,82,185,363,587,434,118,165,467,451,8,6,8,10,5,9,NA,5,8,NA,5,NA,NA,7,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,10,NA,NA,"42D",4295,38,1065,24,80,1,60,1,60,1,50,1,350,8,1405,32,820,19,400,9,NA,13,3290,1105,120,110,85,50,140,730,370,585,0,85540,26,22,17,3460,1125,170,170,105,105,260,740,285,510,0,121395,35,21,81506,81258,81370,55.4929707127934,52.7684606541454,47.2106312720338,0.0527835811724223,0.0404325918643235,0.0425804228506732,700438090.174405,700438090.174405,577406000,549701999.999999,532632999.999999,0.00644662689000205,0.00613012014003791,0.0066439238177347,0.00879946720495834,0.00886953544917421,1,1,3,2,3,10
"NHS Nottingham and Nottinghamshire CCG","Rolling 12 month",10270,10775,13410,16200,0.151386998654436,0.162005871302549,0.163590560799231,0.141199090427172,0.150212370651749,204989955.751,216383142.005249,230784565.694711,232855912.79104,247720000,8976517.621,10132217.92612,10916351.06015,12384811.99661,13088000,959701.982,1022389.57064,1167160.290061,1009007.95293,1025000,1898,1884,1727,1800,1476,1600,1167,1195,988,1065,1565,1791,1482,1646,1624,1659,1856,1482,1036,909,16,18,22,20,14,15,11,13,11,14,25,15,11,8,14,10,15,8,NA,NA,NA,NA,NA,NA,NA,NA,40,20,"52R",15615,56,2285,14,515,3,450,2,250,1,165,1,1040,6,4575,29,4430,28,1900,12,NA,15,11125,2460,355,230,240,180,805,1950,2815,2095,0,500625,45,18,10.8333333333333,9790,1795,265,210,200,220,600,2275,2940,1305,0,403455,41,23,211969,213118,213938,61.1766025670989,57.8897250446858,51.2220978995204,0.0729884359019903,0.0520010470323178,0.0459369926519581,1649131818.67232,1649131818.67232,1410745000,1335650000,1354079000,0.00793629705752499,0.00750989815148962,0.00773800443038962,0.00758598279947593,0.00662924217937063,2,1,1,5,4,13
"NHS West Sussex CCG","Rolling 12 month",4980,6395,6610,8275,0.109758247829751,0.114551243666056,0.120756055407416,0.116156494438455,0.122921318544772,119392000,131983766.4784,147049478.911826,159846847.70558,169156149.04,7447764,9040840.15048322,9236931.74077241,10184129.9153333,9697582.8664,469270,638540.343046853,721347.542739225,880738.848108688,911967.66807,1659,1334,1095,937,595,1005,817,961,1250,1350,1163,752,866,1056,1079,723,867,945,1040,1297,19,17,8,13,13,7,5,7,9,5,8,8,12,11,5,9,8,6,8,11,90,35,15,NA,15,10,NA,NA,"70F",9025,53,1325,14,360,3,205,2,170,1,125,1,615,6,2250,24,2875,31,1095,12,NA,8,6175,1200,305,185,110,95,295,1755,1515,705,10,234650,38,28,8,6145,835,320,255,175,140,645,1895,965,905,0,367830,60,31,174672,176107,175759,55.1754554042752,57.9437179053892,52.4506790801752,0.0513487218293231,0.0351333359884842,0.0348935590294537,1376133538.45035,1376133538.45035,1217739999.99999,1152181000,1087772466.86,0.00704697806967217,0.00740053899623834,0.00758530699555936,0.0078467186583386,0.00684680319359335,1,1,2,2,5,11
"NHS Lincolnshire CCG","Rolling 12 month",4545,4675,6705,6955,0.142472278838792,0.147555844348135,0.148059970368439,0.137876834966514,0.146400742108887,142623247.603,148039089.738375,156933648.572531,171911999.0499,182540049.2,7345796.6,7953569.8269,8233083.7327,7686071,7556087.3871,175608,0,531451.184638,676086,684672,1583,1797,1864,1697,1325,1227,934,947,1037,1151,1578,1120,747,579,711,759,507,492,639,896,27,16,18,14,18,14,15,14,17,21,14,9,NA,5,8,7,NA,NA,5,8,NA,NA,NA,5,NA,NA,NA,NA,"71E",8090,37,1385,17,550,6,495,6,265,3,135,1,270,3,3245,40,960,11,780,9,NA,11,6150,1840,485,285,145,80,170,1600,565,985,0,159900,26,26,13.75,6705,1595,415,350,290,165,310,1965,450,1165,0,227955,34,29,145641,146412,147332,51.2861251262455,52.1683748269215,56.2323015374423,0.054909999185513,0.0417424592077756,0.0457954266043767,1246851939.2083,1246851939.20829,1059933000,1003275000,1001059636.06,0.00606013204093648,0.00616438147810908,0.00776755109304077,0.00792760691425582,0.00733802096837287,1,1,3,2,2,9
"NHS South East London CCG","Rolling 12 month",12340,13800,17550,18775,0.14183909225805,0.14716635123464,0.15114153120734,0.123359210063978,0.129673358910155,346842040,359324600.834224,391224865.859669,400871373.779065,421390000,21343000,24273605.3595404,27219789.4959883,32415441.3829657,34845000,1222000,1308018.48408419,1442806.85135966,2099433.74545792,2143000,4004,2979,4196,4206,3847,2844,2928,3474,3783,2861,2565,2111,556,693,990,1013,2079,1919,1622,1436,46,54,63,56,46,41,55,40,43,27,40,27,14,12,16,11,20,20,17,16,25,NA,NA,NA,NA,NA,NA,NA,"72Q",17195,31,4245,24,435,2,255,1,190,1,130,0,670,3,4915,28,4260,24,2090,12,10,17,11770,3520,335,215,160,115,540,1435,2760,2680,15,341330,29,12,16.6666666666667,14025,2840,320,225,195,165,1110,1735,4180,3225,25,708685,51,12,397033,397064,398202,87.5058387451595,81.4045167602516,68.5526501923828,0.0431816012978338,0.0295578625923526,0.0353217617311063,3249626627.5632,3249626627.5632,2588467000,2441622000,2445320499.99999,0.0107227703344274,0.00997512794485965,0.0105157954480348,0.00994159020501143,0.00872809924097886,4,4,4,1,4,17
"NHS Northamptonshire CCG","Rolling 12 month",4480,5700,5560,7395,0.13639410042349,0.140478678453917,0.141710567480573,0.126547762964151,0.132644875061006,121943000,126504000,134983000,141647954.6787,148472598.89,8737000,8495000,8840000,7730723.3781,9012138.247,374000,382000,837000,868854.6843,1042489.3348,1887,2224,1903,1938,2170,1989,1736,1697,2123,2066,2333,2152,1427,1605,1766,1947,2128,1557,1256,1037,27,25,17,21,29,24,19,27,28,28,27,30,19,19,17,25,24,15,14,9,NA,25,NA,NA,65,15,5,NA,"78H",6735,48,1370,20,315,4,275,4,230,3,155,2,625,9,880,13,2135,31,720,10,25,14,4930,1130,245,235,220,120,260,600,1660,440,20,177480,36,12,14,3435,690,155,115,130,110,305,645,1095,190,0,156780,46,19,166368,167864,169287,53.2358553639677,45.6663735437452,52.6616785016442,0.0397845079657623,0.0291221416883754,0.020462993852166,1119324050.94215,1119324050.94215,952525999.999998,900521000.000001,894048933.358402,0.00805141124182438,0.00690659989981719,0.00928058656666592,0.00943342798224582,0.00977239575375407,1,2,2,1,5,11
"NHS County Durham CCG","Rolling 12 month",7860,7715,9680,10510,0.165916247493949,0.171749258054392,0.171313793110817,0.158878078890061,0.17080687721692,136178000,139472419.98823,146620965.59941,155814741.85416,167513540.36,7199000,7712405.7997,8229802.1483,8926509.8146,9864028.7129,585000,585773.07372,745150.67586,910515.53415,1520320.4665,1008,1026,1199,1105,1053,985,987,879,1067,831,563,449,565,490,516,567,193,NA,210,90,7,6,7,11,14,5,11,13,15,10,NA,NA,8,5,7,14,NA,NA,NA,NA,5,20,NA,15,NA,10,NA,20,"84H",9940,37,1850,18,280,2,215,2,140,1,105,1,400,4,2945,29,2655,26,1355,13,NA,20,5980,2245,215,115,85,70,320,1045,625,1250,0,161460,27,17,22,7125,2780,420,195,115,90,540,1445,530,1015,0,237615,33,20,101040,101468,101979,96.7260780444994,87.5328235675972,81.1073653595222,0.0974710479608547,0.0586395238235323,0.0702191824023337,980718944.631617,980718944.631621,855862000,812069999.999999,820763500.000001,0.0100579567335728,0.00910200609814159,0.0096158050577079,0.00949721797345057,0.00877110154143062,5,3,3,5,4,20
"NHS Kent and Medway CCG","Rolling 12 month",15665,17465,26275,28005,0.113403471486633,0.115339958093399,0.116719292620469,0.10507274597342,0.109982759824273,261858712.044,270449710.437192,289687946.740594,304220949.540692,318437091.53,20594448.1677,21002703.602548,20984694.2208935,23884059.4801897,23306425.53,971185,950698.575,1035606.2625,1355684.4,1612896.35,4112,3721,4050,3935,3557,3382,3925,4075,4663,4258,3256,3473,3768,3785,3609,3485,3466,3120,2038,1720,50,28,39,38,34,26,40,36,43,28,24,37,41,23,31,19,25,18,8,20,NA,20,20,5,75,10,NA,NA,"91Q",27320,43,4390,16,825,3,445,1,300,1,230,0,1425,5,12805,46,4525,16,2375,8,NA,14,18860,4285,515,325,300,285,665,7320,2585,2575,0,565800,30,39,16.25,20335,4645,660,480,335,260,1155,6440,3130,3200,0,776655,38,32,404531,408818,412012,56.5673464122404,57.9693297287208,51.3301621281194,0.0663087482888848,0.0457753657660456,0.0497409605252215,2895336433.08086,2895336433.08085,2481920000,2344805000,2309089030.61989,0.00804964330352454,0.00824914825348131,0.008455024424999,0.00895712163806715,0.00891886276129044,1,1,2,4,1,9
"NHS Surrey Heartlands CCG","Rolling 12 month",7170,10530,10450,13885,0.110455593221978,0.113066537182587,0.115559886045371,0.108500358820817,0.113092990952649,132453674.911,146716156.24696,158137463.819244,176675000,184153346.53,10239714.3188,14290791.0334,15296488.0472,14834000,16512106.162,1559525.64792,1122734.29162,1201995.72146,1386000,1419445.1667,1340,1380,1471,1753,1579,1522,1447,1319,1346,1227,1492,1655,1366,1620,1690,1830,1912,1675,1354,972,8,22,10,16,9,15,11,8,10,14,13,11,18,14,12,9,11,8,7,13,NA,15,NA,5,NA,NA,20,20,"92A",17030,51,1795,10,450,2,420,2,255,1,250,1,890,5,4890,28,6150,36,1925,11,10,10,10040,1220,290,165,125,95,485,2355,3400,1905,0,471880,47,23,13,10525,1215,175,120,100,75,690,2355,3915,1865,0,684435,65,22,229933,231623,234575,70.3915854715976,63.2377704358947,66.0404538720248,0.0725993818608121,0.0428008099754876,0.0454402196673042,1628335628.74912,1628335628.74912,1368446000,1297609000,1199157698.106,0.010140480789384,0.00910991551010612,0.0111779990202025,0.0110131719442451,0.00853908900803708,3,3,2,4,4,16
"NHS Bath and North East Somerset, Swindon and Wiltshire CCG","Rolling 12 month",4925,5250,7190,8070,0.109307873511003,0.11716111694752,0.121903535701875,0.115742070175151,0.123940353349337,120810000,130455740.370905,143651857.892304,152640872.568581,163452784.74,10724000,11632616.46,12103778.11,13606189.2869429,16569898.914,683000,455570,462044,472390.098892102,817833.12194,1416,1472,1945,1949,2281,1782,2167,2127,2182,1726,1689,1767,1509,1058,1652,1807,1730,1409,970,814,16,20,26,27,31,27,26,18,14,17,17,13,8,17,11,13,18,16,6,11,20,NA,NA,NA,NA,NA,NA,NA,"92G",9460,47,1585,16,360,3,280,2,205,2,125,1,620,6,3170,33,2130,22,970,10,10,18,7170,1745,240,170,90,70,240,1545,1965,1100,5,193590,27,22,19,9370,1885,265,230,185,140,385,2310,2400,1555,15,306790,33,25,193437,194237,195342,84.8250704610376,69.653168734542,62.3144823591798,0.0484278854521813,0.0367048560985349,0.0482400366562498,1318801990.81968,1318801990.81969,1178406000,1113472999.99999,1105226880,0.0125643569158561,0.0103170827627324,0.0102713140547485,0.0104471473129569,0.00970298514636202,4,5,2,1,3,15
"NHS North Central London CCG","Rolling 12 month",11880,12335,15490,15885,0.15605365542556,0.168101799578625,0.162486068582569,0.138003555249232,0.143468500164235,308571247.064,334275471.516084,341642882.829572,353511527.16226,367510594.21,23433489.9139,31390507.8618466,35129335.0694458,37879837.996,40246409.962,1878439.11539,1833006.45531485,2013668.86746243,2155838.7031,2396157.8966,4675,4787,5134,5452,4162,4148,3911,4508,5069,4383,4867,4633,4431,4431,3816,3536,3526,2093,2834,2641,34,41,43,32,33,28,33,38,36,36,37,33,44,29,16,24,23,10,20,27,NA,NA,10,10,NA,NA,NA,NA,"93C",14360,42,2750,19,940,6,680,4,415,2,245,1,825,5,3715,25,3535,24,1250,8,5,19,10665,3195,640,485,325,165,495,1400,2210,1745,0,341280,32,13,18.8,12055,2385,745,655,460,325,965,1980,2505,2015,0,572050,47,16,330677,332659,335865,119.829127661412,112.782927652479,105.601637320637,0.0427552736962768,0.0317538296637042,0.036238310101335,2561611739.08763,2561611739.08762,2102598000,1988530000.00001,1977340717.9891,0.0157113622442777,0.0147875017193245,0.0167075851253762,0.015785785410251,0.0118510126761215,5,5,3,1,5,19
"NHS East Sussex CCG","Rolling 12 month",3065,3665,4180,7220,0.11081935158035,0.112336871196448,0.116284355188899,0.0942743926204677,0.103320828760946,84573022.943,85590023.84893,93635069.9069813,99517589.7569,109067155.61,6178720.0073,5465791.6498,5798310.2188,7460723.3826017,7999987.9187,35000,117582,119000,548975.733676104,465337.84052,1207,997,1431,1116,691,450,751,612,574,418,357,481,668,825,729,690,874,791,883,773,9,12,10,9,5,NA,NA,5,NA,5,8,14,7,9,NA,9,NA,5,7,NA,NA,NA,NA,5,45,NA,NA,NA,"97R",5870,39,515,8,120,2,85,1,45,0,50,0,130,2,295,5,1560,26,3070,52,NA,15,3885,330,45,40,35,25,75,305,2875,160,0,139860,36,8,12,4300,375,125,65,45,25,160,875,2460,165,0,220830,51,20,106378,106338,106575,75.0643952024396,70.0044417790448,54.527170144257,0.0550785831574009,0.0364532019704433,0.040437096804529,1055616344.91289,1055616344.91288,805225000.000001,761905000.000003,763161142.318,0.00757849947781947,0.00706764670569536,0.00720085717507528,0.00717384929853457,0.00809621934960284,3,1,3,2,5,14
"NHS North East London CCG","Rolling 12 month",13880,17300,18430,21885,0.125825102108176,0.132141751928099,0.131065430906627,0.117792692887748,0.124201544703101,330934088.261,341017822.77559,359569621.504752,379297813.638252,399934607.16,28388400.612,27438257.4528336,33023335.8514588,37567449.7624805,38880593.245,1178819,1169988.27871803,1020617.28982183,1533563.71591689,2494298.3715,3366,3213,3405,3632,3597,3690,3971,4357,5339,4987,4503,4552,3512,4557,4503,3857,3980,3104,3464,3139,50,41,38,50,54,48,56,56,56,56,48,55,29,55,54,45,36,33,32,32,NA,NA,45,515,290,50,50,NA,"A3A8R",19895,31,6855,34,820,4,630,3,475,2,450,2,1190,5,4990,25,2730,13,1760,8,NA,17,13835,5805,755,465,300,210,465,2320,1570,1920,0,322090,23,17,16.8571428571429,17330,7515,1060,590,405,320,800,3650,1135,1855,0,444630,26,21,486766,488757,492913,78.8792205622493,76.2151733926281,67.5659598767052,0.0403620922962064,0.0280678334716268,0.0354572926832761,3220045355.44246,3220045355.44245,2743435999.99999,2580697000.00001,2630111819.63107,0.0120745483225212,0.0116667455317003,0.0120372175080661,0.0106321111904395,0.0107936097621819,3,5,4,1,5,18
